iter	Passed	Remaining
157	1709	9110
158	1719	9094
159	1727	9066
160	1736	9048
161	1746	9032
162	1757	9022
163	1767	9010
164	1786	9041
165	1806	9075
166	1820	9080
167	1830	9066
168	1844	9069
169	1853	9051
170	1863	9033
171	1874	9024
172	1884	9009
173	1894	8994
174	1902	8970
175	1911	8948
176	1918	8922
177	1927	8902
178	1936	8883
179	1945	8862
180	1955	8848
181	1964	8829
182	1973	8810
183	1982	8789
184	1993	8780
185	2002	8764
186	2014	8760
187	2028	8759
188	2039	8749
189	2049	8736
190	2062	8734
191	2073	8726
192	2086	8723
193	2099	8722
194	2110	8713
195	2121	8702
196	2133	8696
197	2144	8687
198	2156	8680
199	2167	8671
200	2178	8658
201	2189	8647
202	2199	8636
203	2212	8631
204	2223	8621
205	2234	8613
206	2245	8602
207	2256	8592
208	2267	8581
209	2278	8570
210	2288	8556
211	2298	8543
212	2307	8527
213	2317	8512
214	2326	8493
215	2335	8475
216	2344	8461
217	2353	8443
218	2362	8424
219	2370	8405
220	2379	8386
221	2388	8369
222	2396	8348
223	2404	8330
224	2414	8317
225	2423	8299
226	2431	8280
227	2440	8264
228	2449	8246
229	2458	8230
230	2467	8213
231	2477	8202
232	2485	8181
233	2495	8168
234	2505	8157
235	2517	8148
236	2526	8133
237	2535	8116
238	2545	8104
239	2553	8087
240	2562	8070
241	2571	8054
242	2579	8036
243	2588	8020
244	2596	8002
245	2606	7989
246	2615	7975
247	2625	7961
248	2634	7945
249	2643	7931
250	2654	7919
251	2664	7907
252	2674	7895
253	2683	7882
254	2696	7876
255	2708	7871
256	2718	7860
257	2730	7852
258	2740	7839
259	2750	7828
260	2761	7819
261	2772	7808
262	2782	7796
263	2792	7785
264	2802	7774
265	2814	7765
266	2824	7752
267	2834	7741
268	2845	7731
269	2854	7717
270	2865	7708
271	2875	7695
272	2887	7689
273	2898	7680
274	2908	7667
275	2918	7656
276	2928	7643
277	2938	7632
278	2950	7624
279	2961	7615
280	2974	7610
281	2985	7602
282	2996	7592
283	3007	7581
284	3017	7569
285	3028	7559
286	3041	7557
287	3052	7547
288	3065	7541
289	3076	7531
290	3085	7518
291	3095	7504
292	3104	7490
293	3113	7476
294	3121	7460
295	3132	7451
296	3141	7435
297	3149	7418
298	3157	7403
299	3166	7388
300	3174	7372
301	3183	7357
302	3192	7343
303	3201	7330
304	3210	7315
305	3220	7303
306	3228	7288
307	3237	7272
308	3245	7257
309	3253	7242
310	3263	7229
311	3271	7215
312	3282	7205
313	3291	7190
314	3301	7178
315	3309	7162
316	3319	7151
317	3329	7141
318	3338	7127
319	3346	7112
320	3355	7098
321	3364	7084
322	3373	7070
323	3381	7055
324	3390	7040
325	3399	7027
326	3407	7013
327	3417	7002
328	3426	6988
329	3434	6973
330	3442	6958
331	3451	6943
332	3460	6931
333	3468	6916
334	3477	6902
335	3486	6890
336	3494	6875
337	3503	6861
338	3511	6847
339	3520	6834
340	3530	6823
341	3539	6810
342	3548	6796
343	3556	6782
344	3564	6767
345	3575	6757
346	3583	6744
347	3593	6732
348	3602	6720
349	3611	6706
350	3619	6692
351	3629	6681
352	3637	6667
353	3646	6655
354	3658	6647
355	3667	6635
356	3676	6622
357	3685	6609
358	3694	6596
359	3703	6584
360	3712	6571
361	3721	6558
362	3731	6547
363	3741	6536
364	3751	6527
365	3760	6514
366	3769	6501
367	3778	6489
368	3788	6478
369	3797	6466
370	3807	6454
371	3816	6442
372	3825	6430
373	3834	6418
374	3845	6409
375	3854	6396
376	3863	6384
377	3872	6372
378	3882	6360
379	3890	6348
380	3899	6335
381	3908	6323
382	3918	6312
383	3927	6300
384	3936	6288
385	3945	6275
386	3955	6264
387	3964	6253
388	3973	6241
389	3982	6228
390	3991	6216
391	3999	6203
392	4007	6190
393	4016	6178
394	4026	6166
395	4034	6153
396	4044	6143
397	4053	6131
398	4062	6119
399	4070	6106
400	4079	6093
401	4088	6081
402	4096	6068
403	4106	6058
404	4116	6048
405	4124	6034
406	4133	6022
407	4142	6010
408	4151	5998
409	4159	5985
410	4167	5972
411	4176	5960
412	4185	5949
413	4194	5937
414	4203	5925
415	4212	5913
416	4220	5900
417	4229	5888
418	4238	5876
419	4247	5865
420	4256	5853
421	4266	5843
422	4275	5831
423	4283	5819
424	4293	5808
425	4303	5798
426	4312	5787
427	4321	5775
428	4332	5766
429	4342	5755
430	4351	5744
431	4361	5734
432	4371	5724
433	4380	5712
434	4389	5701
435	4399	5691
436	4409	5680
437	4419	5670
438	4429	5660
439	4439	5650
440	4450	5640
441	4461	5632
442	4471	5622
443	4481	5611
444	4490	5601
445	4503	5593
446	4513	5583
447	4523	5573
448	4533	5563
449	4544	5554
450	4556	5546
451	4567	5538
452	4577	5527
453	4586	5516
454	4597	5506
455	4607	5497
456	4617	5486
457	4627	5476
458	4637	5466
459	4648	5457
460	4658	5447
461	4669	5437
462	4679	5427
463	4691	5419
464	4700	5407
465	4710	5397
466	4719	5386
467	4729	5376
468	4738	5365
469	4748	5355
470	4759	5345
471	4769	5335
472	4779	5325
473	4790	5315
474	4799	5305
475	4809	5294
476	4819	5284
477	4830	5274
478	4841	5265
479	4851	5255
480	4861	5245
481	4872	5236
482	4880	5224
483	4889	5213
484	4898	5201
485	4908	5191
486	4917	5180
487	4927	5170
488	4936	5158
489	4944	5146
490	4954	5136
491	4966	5128
492	4976	5117
493	4984	5105
494	4993	5094
495	5001	5082
496	5009	5069
497	5018	5058
498	5027	5047
499	5038	5038
500	5047	5027
501	5056	5015
502	5065	5004
503	5076	4995
504	5085	4984
505	5095	4974
506	5104	4963
507	5112	4951
508	5121	4940
509	5130	4929
510	5140	4919
511	5153	4911
512	5164	4903
513	5175	4893
514	5187	4884
515	5197	4875
516	5208	4865
517	5219	4856
518	5230	4847
519	5242	4839
520	5251	4828
521	5261	4817
522	5271	4807
523	5279	4795
524	5290	4786
525	5299	4775
526	5307	4763
527	5316	4752
528	5325	4741
529	5334	4730
530	5342	4719
531	5352	4708
532	5362	4698
533	5371	4687
534	5379	4675
535	5388	4664
536	5397	4654
537	5406	4642
538	5415	4631
539	5425	4621
540	5433	4610
541	5442	4599
542	5452	4588
543	5461	4577
544	5469	4566
545	5479	4555
546	5488	4545
547	5498	4535
548	5508	4525
549	5518	4514
550	5528	4504
551	5538	4495
552	5548	4485
553	5558	4474
554	5569	4465
555	5579	4455
556	5589	4445
557	5598	4434
558	5608	4424
559	5618	4414
560	5628	4404
561	5638	4394
562	5647	4383
563	5658	4374
564	5667	4363
565	5680	4355
566	5690	4345
567	5699	4335
568	5709	4324
569	5719	4314
570	5734	4308
571	5745	4299
572	5754	4288
573	5765	4279
574	5775	4268
575	5786	4259
576	5795	4248
577	5805	4238
578	5815	4228
579	5826	4218
580	5835	4208
581	5847	4199
582	5856	4189
583	5866	4179
584	5876	4168
585	5888	4159
586	5898	4150
587	5907	4139
588	5917	4129
589	5928	4119
590	5938	4109
591	5947	4099
592	5957	4088
593	5965	4077
594	5974	4066
595	5983	4055
596	5991	4044
597	6000	4033
598	6011	4024
599	6019	4012
600	6027	4001
601	6036	3990
602	6045	3980
603	6056	3970
604	6067	3961
605	6077	3951
606	6088	3941
607	6097	3931
608	6107	3920
609	6116	3910
610	6126	3900
611	6136	3890
612	6145	3879
613	6153	3868
614	6162	3857
615	6170	3846
616	6177	3834
617	6191	3827
618	6200	3816
619	6210	3806
620	6221	3796
621	6229	3786
622	6238	3775
623	6256	3769
624	6272	3763
625	6281	3752
626	6291	3742
627	6302	3733
628	6313	3723
629	6326	3715
630	6349	3712
631	6362	3704
632	6372	3694
633	6381	3684
634	6390	3673
635	6398	3662
636	6406	3650
637	6415	3639
638	6423	3628
639	6431	3617
640	6439	3606
641	6447	3595
642	6457	3585
643	6465	3574
644	6474	3563
645	6482	3552
646	6490	3540
647	6498	3529
648	6506	3518
649	6514	3507
650	6522	3496
651	6530	3485
652	6537	3473
653	6544	3462
654	6552	3451
655	6559	3439
656	6567	3428
657	6574	3417
658	6583	3406
659	6591	3395
660	6599	3384
661	6610	3374
662	6619	3364
663	6626	3353
664	6634	3342
665	6642	3331
666	6650	3320
667	6657	3308
668	6666	3298
669	6674	3287
670	6682	3276
671	6689	3265
672	6696	3253
673	6703	3242
674	6711	3231
675	6718	3220
676	6726	3209
677	6733	3198
678	6741	3187
679	6749	3176
680	6756	3164
681	6764	3154
682	6772	3143
683	6780	3132
684	6788	3121
685	6796	3111
686	6805	3100
687	6813	3090
688	6822	3079
689	6830	3068
690	6837	3057
691	6847	3047
692	6856	3037
693	6864	3026
694	6872	3015
695	6879	3005
696	6899	2999
697	6906	2988
698	6915	2977
699	6923	2967
700	6931	2956
701	6939	2945
702	6946	2934
703	6954	2923
704	6961	2913
705	6968	2902
706	6976	2891
707	6984	2880
708	6992	2869
709	6999	2859
710	7006	2848
711	7014	2837
712	7023	2827
713	7031	2816
714	7039	2805
715	7046	2795
716	7054	2784
717	7062	2773
718	7069	2762
719	7076	2752
720	7084	2741
721	7092	2731
722	7102	2721
723	7110	2710
724	7118	2700
725	7126	2689
726	7134	2678
727	7142	2668
728	7149	2657
729	7158	2647
730	7165	2636
731	7173	2626
732	7181	2615
733	7189	2605
734	7196	2594
735	7204	2584
736	7211	2573
737	7219	2562
738	7227	2552
739	7236	2542
740	7244	2532
741	7251	2521
742	7259	2511
743	7267	2500
744	7274	2490
745	7282	2479
746	7290	2469
747	7297	2458
748	7305	2448
749	7312	2437
750	7320	2427
751	7328	2416
752	7336	2406
753	7344	2396
754	7352	2386
755	7360	2375
756	7368	2365
757	7376	2355
758	7384	2344
759	7392	2334
760	7400	2324
761	7407	2313
762	7415	2303
763	7424	2293
764	7432	2283
765	7439	2272
766	7447	2262
767	7455	2252
768	7462	2241
769	7469	2231
770	7476	2220
771	7484	2210
772	7492	2200
773	7500	2189
774	7507	2179
775	7515	2169
776	7522	2159
777	7530	2148
778	7538	2138
779	7546	2128
780	7554	2118
781	7561	2108
782	7569	2097
783	7576	2087
784	7584	2077
785	7593	2067
786	7601	2057
787	7609	2047
788	7617	2037
789	7625	2027
790	7633	2016
791	7642	2007
792	7650	1997
793	7659	1987
794	7666	1976
795	7673	1966
796	7681	1956
797	7689	1946
798	7697	1936
799	7705	1926
800	7712	1916
801	7720	1905
802	7728	1895
803	7735	1885
804	7744	1875
805	7752	1865
806	7761	1856
807	7769	1846
808	7777	1836
809	7785	1826
810	7794	1816
811	7802	1806
812	7809	1796
813	7816	1786
814	7824	1776
815	7831	1765
816	7840	1756
817	7847	1746
818	7857	1736
819	7865	1726
820	7873	1716
821	7881	1706
822	7889	1696
823	7896	1686
824	7904	1676
825	7912	1666
826	7919	1656
827	7927	1646
828	7935	1636
829	7942	1626
830	7950	1616
831	7958	1607
832	7966	1597
833	7973	1587
834	7981	1577
835	7988	1567
836	7996	1557
837	8004	1547
838	8011	1537
839	8020	1527
840	8027	1517
841	8035	1507
842	8043	1497
843	8050	1488
844	8059	1478
845	8066	1468
846	8074	1458
847	8082	1448
848	8090	1438
849	8099	1429
850	8107	1419
851	8115	1409
852	8123	1399
853	8130	1390
854	8139	1380
855	8146	1370
856	8154	1360
857	8163	1351
858	8171	1341
859	8179	1331
860	8187	1321
861	8195	1312
862	8203	1302
863	8211	1292
864	8218	1282
865	8226	1272
866	8234	1263
867	8242	1253
868	8250	1243
869	8258	1233
870	8266	1224
871	8273	1214
872	8281	1204
873	8290	1195
874	8297	1185
875	8305	1175
876	8312	1165
877	8320	1156
878	8328	1146
879	8337	1136
880	8347	1127
881	8355	1117
882	8364	1108
883	8373	1098
884	8382	1089
885	8390	1079
886	8400	1070
887	8408	1060
888	8416	1050
889	8425	1041
890	8432	1031
891	8440	1021
892	8447	1012
893	8455	1002
894	8462	992
895	8470	983
896	8478	973
897	8486	963
898	8493	954
899	8501	944
900	8508	934
901	8515	925
902	8523	915
903	8531	905
904	8538	896
905	8546	886
906	8553	877
907	8561	867
908	8569	857
909	8576	848
910	8584	838
911	8592	829
912	8600	819
913	8608	809
914	8615	800
915	8623	790
916	8631	781
917	8639	771
918	8646	762
919	8654	752
920	8661	742
921	8670	733
922	8678	724
923	8686	714
924	8693	704
925	8702	695
926	8710	685
927	8718	676
928	8726	666
929	8733	657
930	8741	647
931	8749	638
932	8756	628
933	8764	619
934	8772	609
935	8781	600
936	8789	590
937	8798	581
938	8806	572
939	8814	562
940	8821	553
941	8828	543
942	8836	534
943	8845	524
944	8853	515
945	8861	505
946	8868	496
947	8876	486
948	8884	477
949	8891	467
950	8899	458
951	8906	449
952	8914	439
953	8922	430
954	8929	420
955	8936	411
956	8944	401
957	8952	392
958	8959	383
959	8967	373
960	8974	364
961	8982	354
962	8990	345
963	8998	336
964	9005	326
965	9012	317
966	9020	307
967	9027	298
968	9035	289
969	9043	279
970	9050	270
971	9057	260
972	9065	251
973	9073	242
974	9081	232
975	9089	223
976	9098	214
977	9106	204
978	9114	195
979	9121	186
980	9130	176
981	9137	167
982	9145	158
983	9153	148
984	9161	139
985	9169	130
986	9178	120
987	9186	111
988	9194	102
989	9201	92
990	9210	83
991	9217	74
992	9225	65
993	9232	55
994	9240	46
995	9248	37
996	9256	27
997	9264	18
998	9272	9
999	9280	0
